In addition to the standard errors in the tables, the flux densities involves ~3-5% systematic errors.

J1256-0547 (3C 279)
| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-02-27 05:01 | 343.4 |  3.05 (0.03) |  -0.02 (0.04) |  -0.18 (0.00) |   5.85 (0.48) | -47.82 ( 7.06) |
|2020-02-27 05:19 | 343.4 |  2.98 (0.02) |  -0.02 (0.06) |  -0.17 (0.01) |   5.89 (0.99) | -48.15 ( 9.55) |
|2020-02-28 02:44 | 343.4 |  3.07 (0.04) |  -0.02 (0.03) |  -0.13 (0.05) |   4.36 (1.19) | -50.11 ( 5.88) |
|2021-01-28 07:34 | 343.4 |  4.37 (0.03) |   0.00 (0.00) |  -0.09 (0.00) |   2.01 (0.31) | -44.85 ( 0.53) |
|2021-02-07 04:11 | 343.4 |  4.40 (0.07) |  -0.02 (0.00) |  -0.01 (0.00) |   0.56 (0.29) | -83.29 ( 1.37) |
|2021-02-07 06:07 | 343.4 |  4.47 (0.05) |  -0.02 (0.00) |  -0.01 (0.00) |   0.49 (0.28) | -71.65 ( 1.16) |
|2021-02-07 06:30 | 343.4 |  4.54 (0.03) |   0.02 (0.03) |  -0.02 (0.01) |   0.67 (0.40) | -21.91 (19.12) |
|2021-02-08 03:13 | 343.4 |  4.31 (0.05) |  -0.03 (0.00) |  -0.02 (0.00) |   0.78 (0.30) | -70.15 ( 0.89) |
|2021-02-08 04:24 | 343.4 |  4.40 (0.05) |  -0.03 (0.00) |  -0.03 (0.00) |   0.94 (0.30) | -69.96 ( 0.45) |


J1337-1257
| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-03-04 02:31 |  97.5 |  4.92 (0.04) |   0.35 (0.04) |  -0.04 (0.09) |   7.15 (1.29) |  -3.16 ( 7.32) |
|2020-03-04 06:38 |  97.5 |  4.94 (0.03) |   0.33 (0.01) |  -0.06 (0.00) |   6.87 (0.35) |  -4.86 ( 0.43) |
